referrer,views_total,views_unique
github.com,1066,68
keptn.sh,497,86
Google,220,56
dynatrace.com,50,1
com.linkedin.android,28,7
linkedin.com,25,12
Bing,22,3
medium.com,19,6
dev-jira.dynatrace.org,19,3
lifecycle.keptn.sh,12,2
