time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-16 00:00:00+00:00,108,23,106,30
2024-05-17 00:00:00+00:00,1389,80,209,30
2024-05-18 00:00:00+00:00,241,28,39,13
2024-05-19 00:00:00+00:00,31,15,9,7
2024-05-20 00:00:00+00:00,104,54,206,22
2024-05-21 00:00:00+00:00,1181,118,210,30
2024-05-22 00:00:00+00:00,136,52,229,19
2024-05-23 00:00:00+00:00,2081,178,320,31
2024-05-24 00:00:00+00:00,215,39,106,21
2024-05-25 00:00:00+00:00,26,8,13,9
2024-05-26 00:00:00+00:00,45,17,33,5
2024-05-27 00:00:00+00:00,94,25,159,28
2024-05-28 00:00:00+00:00,129,65,148,35
2024-05-29 00:00:00+00:00,104,53,210,35
